"Điện thoại Ctyon 4G có wifi xem youtube , lướt web , màn 2.4 ,Phím to - Mới nguyên seal",,https://vn-live-01.slatic.net/p/27c2e9825e0529e4729b1e04f235038a.jpg,499000,369000,26% Off,4.818181818181818,11,[],"[4402, 4518]",2261035266,15
Điện Thoại Infinix Hot 30 8GB/256GB - Hàng Chính Hãng,,https://vn-live-01.slatic.net/p/b92863aeb9028193a930c743a3ee8693.png,4290000,3990000,7% Off,4.756756756756757,38,[],"[4402, 4518]",2397700910,15
[CHỈ 12.12 - VOUCHER 500K] Điện thoại Samsung Galaxy S23 Ultra 8GB 12GB + 256GB 512GB 1TB,,https://vn-live-01.slatic.net/p/f54b12f84e56bff4dcf236b116c557d0.jpg,,31990000,,4.897196261682243,107,[],"[4402, 4518]",2143635830,15
Điện Thoại Samsung Galaxy A34 5G 128GB,,https://vn-live-01.slatic.net/p/190ab8df67036b66a0772fd1b307dc75.jpg,8490000,5590000,34% Off,4.933333333333334,15,[],"[4402, 4518]",2492430651,15
"Điện Thoại Xiaomi Redmi Note 12s (8GB-256GB)-Hàng Chính Hãng, Mới 100% | Bảo hành 18 tháng",,https://vn-live-01.slatic.net/p/a50ac4495a3eda19f3bbe3cfab9dadf5.png,6690000,5690000,15% Off,4.9787234042553195,47,[],"[4402, 4518]",2293368202,15
"điện thoại vsmart joy4 chính hãng, điện thoại giá rẻ kèm đầy đủ phụ kiện giá cực yêu thương BP07",,https://vn-live-01.slatic.net/p/adab7b88ee86f1e97bad4b40e7d93cb5.jpg,,1909700,,0,,[],"[4402, 4518]",2491478767,15
Điện Thoại Infinix Hot 30i 4GB/128GB - Hàng Chính Hãng,,https://vn-live-01.slatic.net/p/8e2cf76c668a85f9521a1d240020a6dd.jpg,3190000,2790000,13% Off,4.934523809523809,168,[],"[4402, 4518]",2337662376,15
Voucher Sở hữu Điện Thoại Apple lPhone 13 Pro Max 512Gb - Số lượng có hạn -,,https://vn-live-01.slatic.net/p/3dcb59b862a69a9069631f002ef077a1.jpg,50000,26000,48% Off,4.363636363636363,22,[],"[4402, 4518]",2508092977,15
Điện thoại Tecno POVA Neo 3 (8+8)/128GB - Helio G85 - Sạc nhanh 18W - 6.82'' HD+ Tần số quét 90HHZ - Hàng Chính Hãng -  Bảo hành 13 Tháng,,https://vn-live-01.slatic.net/p/1131448296d8c38567fecb0ea74d6f0c.jpg,,3690000,,4.966386554621849,119,[],"[4402, 4518]",2403026731,15
Điện thoại Tecno POVA 5 (8+8)/128GB - MediaTek G99 - Sạc nhanh 45W - 6.8'' FHD+ Tần số quét 120HHZ - Hàng Chính Hãng -  Bảo hành 13 Tháng,,https://vn-live-01.slatic.net/p/d1f242e629196c6a4cc381dad631e143.jpg,4490000,4090000,9% Off,5.0,9,[],"[4402, 4518]",2385527871,15
điện thoại i/ phone 4S quốc tế tặng dây sạc tải sẵn app.,,https://vn-live-01.slatic.net/p/edc4381552dff0b0668ae8ed471bb035.jpg,490000,339000,31% Off,0,,[],"[4402, 4518]",2499169119,15
"Điện Thoại 6s/PIIus bản Q-Tế. Lắp sim,cài đầy đủ game và ứng dụng.BH 12 Tháng",,https://sg-test-11.slatic.net/p/e135075b16a2019947c93023400248db.jpg,,1130000,,0,,[],"[4402, 4518]",2491627219,15
"Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng - Màn hình hiển thị 6.74"", dung lượng pin lớn 5000mAh, hỗ trợ sạc nhanh 18W",,https://vn-live-01.slatic.net/p/1a2169bfead031efb481f984823d795c.jpg,3490000,2969000,15% Off,4.913043478260869,23,[],"[4402, 4518]",2487117989,15
Điện thoại Samsung Galaxy A04 (3G+32G) SM-A045F Đen,,https://vn-live-01.slatic.net/p/84b6cc1e935e92afb9fc3a895488cbef.jpg,3490000,2030000,42% Off,5.0,1,[],"[4402, 4518]",2099386006,15
[Nhập RS0822 giảm 30k cho đơn 99k]Điện thoại OPPO A95 (8/128),,https://filebroker-cdn.lazada.vn/kf/S047e9dee55c942339ae8ba1d73e26be1j.jpg,,6790000,,0,,[],"[4402, 4518]",1913248526,15
Samsung Galaxy Z Fold4 5G 256GB,,https://vn-live-01.slatic.net/p/3693f81d1618008febeb22105bb62542.jpg,40990000,24990000,39% Off,0,,[],"[4402, 4518]",2251219154,15
iPhone 12 - VN/A Authentic Product,,https://vn-live-01.slatic.net/p/fd05b1c12a97f776faf76814b545867d.png,24990000,13390000,46% Off,4.829813664596274,805,[],"[4402, 4518]",911354757,15
[CHÍNH HÃNG] Điện thoại giá rẻ Nokia 1616 siêu bền loa to,,https://vn-live-01.slatic.net/p/6aba764d00551320956c481686cc2614.jpg,75000,74000,1% Off,4.646464646464646,96,[],"[4402, 4518]",535350761,15
Newest I14 Pro Max phone fuil HD 7.3inch screen Murah mobile phone 8G + 128GB dual SIM card HD camera 50 + 108MP battery 7800mAh phone replace with a genuine price,,https://sg-test-11.slatic.net/p/05ba293140f6dbf41730c7463020408b.jpg,1958200,979100,50% Off,4.3624161073825505,149,[],"[4402, 4518]",2003578167,15
Điện Thoại Samsung Galaxy A54 5G,,https://vn-live-01.slatic.net/p/3ceea2f4a6c33b5b80940095243bbe41.png,10500000,6920000,34% Off,5.0,1,[],"[4402, 4518]",2215831400,15
"Điện thoại OPPO A55s 5G 4GB/64GB Chip Snap 480,Màn 90HZ,Chống Nước IP68, Sạc Nhanh 18W , Mới nguyên seal 100% - Hàng Nhập Khẩu - Bản quốc tế",,https://vn-live-01.slatic.net/p/c0163253bd570d5f09e4f75f538c32dc.jpg,3690000,2799000,24% Off,4.666666666666667,9,[],"[4402, 4518]",1911840912,15
Điện Thoại Samsung Galaxy S23 Ultra | 256GB - 512GB - 1TB,,https://vn-live-01.slatic.net/p/728032f48975f299d387681a675400fc.jpg,31990000,24700000,23% Off,0,,[],"[4402, 4518]",2186455947,15
Điện Thoại Samsung Galaxy S23 | 256GB và 128GB,,https://vn-live-01.slatic.net/p/459800e6bde7028fa6a934cb071e00f7.jpg,22990000,17610000,23% Off,5.0,1,[],"[4402, 4518]",2186549179,15
