NAME,productUrl,imageUrl,originalPrice,DiscountedPrice,Discount,ratingScore,review,description,categories,itemId,page
iPhone 15 Plus - Hàng Chính Hãng VN/A,,https://filebroker-cdn.lazada.vn/kf/S84daed0db99144ba8f39bc66752cc5d8F.png,25990000,24990000,4% Off,4.898305084745763,58,[],"[4402, 4518]",2417254495,9
Điện Thoại Samsung Galaxy A54 5G 128GB,,https://vn-live-01.slatic.net/p/88ebc8d219c727be40c66b7b36d7c7f4.jpg,,10490000,,4.909090909090909,22,[],"[4402, 4518]",2492490703,9
iPhone 15 Pro Max - Hàng Chính Hãng VN/A,,https://filebroker-cdn.lazada.vn/kf/Sb4c30fcaff374ce69c5a5553bfac16d5a.png,34999000,33990000,3% Off,4.925282363162467,1150,[],"[4402, 4518]",2417233670,9
iPhone 13 - VN/A Authentic Product,,https://vn-live-01.slatic.net/p/b9acb3e14a64bcce0e33f69d296df29c.png,24990000,16290000,35% Off,4.891191709844559,965,[],"[4402, 4518]",1525577176,9
[Deal sốc] Điện thoại OPPO Reno8 5G - Hàng chính hãng,,https://vn-live-01.slatic.net/p/f88e2af2d43f4af8e804517479bc41bf.jpg,,13990000,,5.0,20,[],"[4402, 4518]",1944130553,9
Apple iPhone 15 Pro 256GB Chính hãng (VN/A),,https://vn-live-01.slatic.net/p/7ead69212dc370acbbe7f4416b40f157.jpg,32990000,32620000,1% Off,0,,[],"[4402, 4518]",2417082334,9
"Điện thoại thông minh POCO C65 | 6.74"" HD+ 90Hz | Helio G85 | 5000mAh",,https://vn-live-01.slatic.net/p/89420d06f51d9f3a9218236a4d83c39a.png,,3090000,,4.965694682675815,582,[],"[4402, 4518]",2438761122,9
Điện Thoại ZTE Blade V50 Design | 18GB(8GB+10GB)/128GB/256GB | 6.6'' Full HD+ | Octa Core 1.6GHZ | 5000mAh 22.5W  | Chính Hãng,,https://vn-live-01.slatic.net/p/42f7b637cf5194a8f240aa70c7584f4a.png,2990000,2890000,3% Off,4.96,50,[],"[4402, 4518]",2454940047,9
Điện Thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,,https://vn-live-01.slatic.net/p/cb9bc6b8ccc163b2b0b96e4a28333322.jpg,,4990000,,5.0,1,[],"[4402, 4518]",2395322903,9
Điện thoại Tecno POVA Neo 3 (8+8)/128GB - Helio G85 - Sạc nhanh 18W - 6.82'' HD+ Tần số quét 90HHZ - Hàng Chính Hãng -  Bảo hành 13 Tháng,,https://vn-live-01.slatic.net/p/1131448296d8c38567fecb0ea74d6f0c.jpg,,3690000,,4.966386554621849,119,[],"[4402, 4518]",2403026731,9
điện thoại i/ phone 4 quốc tế tặng dây sạc tải sẵn app.,,https://vn-live-01.slatic.net/p/c04f10ee9a8c908fc64956742612cac2.jpg,390000,239000,39% Off,0,,[],"[4402, 4518]",2498993927,9
Apple iPhone 15 Pro Max 256GB Chính hãng VN/A [Viettel Store],,https://filebroker-cdn.lazada.vn/kf/Sdc921409658f4dc38b8097141ebafb6fA.jpg,35990000,34490000,4% Off,5.0,7,[],"[4402, 4518]",2416609251,9
Điện thoại di động Redmi 13C 6GB/128GB - Chính hãng,,https://vn-live-01.slatic.net/p/9ad8e02aaef951e9de73f640a8c156a3.png,3490000,2990000,14% Off,5.0,1,[],"[4402, 4518]",2484389320,9
"[ẢNH THẬT] Điện thoại Nokia 101 2 SIM, Nghẹ Nhạc",,https://vn-live-01.slatic.net/p/36b682e67c02fe53c3651e78c7e95263.jpg,,89000,,4.666666666666667,8,[],"[4402, 4518]",510392302,9
Điện thoại POCO M5 4GB+64GB/6GB+128GB | Pin 5000mAh | MediaTek Helio G99 | Sạc nhanh 18W,,https://vn-live-01.slatic.net/p/157dc7d34cd22fb8f4130f6e8d0afbe9.png,,4690000,,4.917695473251029,972,[],"[4402, 4518]",2006367294,9
Điện thoại Tecno POVA 5 (8GB+8GB/128GB) RAM mở rộng 16GB | Pin 6000 mAh | Màn 120Hz - Sạc nhanh 45W - Hàng Chính Hãng,,https://vn-live-01.slatic.net/p/c22e4b681124fb67ee3825e188a48bc3.jpg,4490000,3890000,13% Off,5.0,6,[],"[4402, 4518]",2408671426,9
"Điện thoại Xiaomi Redmi Note 10 JE 4GB/64GB, Chip Snap 480,Màn 90HZ,Chống Nước IP68, Sạc Nhanh 18W , Mới 100% - Hàng Nhập Khẩu - Bản quốc tế",,https://vn-live-01.slatic.net/p/a95bc9cf27e4dd5ecdaa227fd03e7474.jpg,3599000,2599000,28% Off,4.887295081967213,488,[],"[4402, 4518]",1911885355,9
Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng,,https://vn-live-01.slatic.net/p/0fda6a1b39f9695771ff6ce6dc86a067.jpg,4990000,4239000,15% Off,5.0,1,[],"[4402, 4518]",2396758589,9
"Điện thoại Samsung Galaxy A54 5G  - Hàng Chính Hãng, Mới 100%, Nguyên seal, Bảo Hành 12 Tháng",,https://vn-live-01.slatic.net/p/d6801a224d3e6ff7f5f7300870b9aaaa.jpg,10490000,8290000,21% Off,5.0,44,[],"[4402, 4518]",2232865605,9
Điện thoại Samsung Galaxy Z Flip4 5G 256GB và 128GB,,https://vn-live-01.slatic.net/p/e731b55d15a74bac6f4045a6e67bb6f4.jpg,23990000,11995000,50% Off,5.0,1,[],"[4402, 4518]",2186361924,9
"Điện Thoại Xiaomi Redmi Note 12 (4GB/128GB) Chính Hãng - Chip Snapdragon 685, Màn hình 120Hz, Sạc nhanh 33W",,https://vn-live-01.slatic.net/p/6df446a1c3ea593d50a2b14224123647.jpg,4990000,4060000,19% Off,5.0,13,[],"[4402, 4518]",1960785792,9
[GIÁ SỈ] Pin điện thoại 5 / 5S / 5C / 6 / 6S / 7 / 8 / 6 PLUS / 6S PLUS / 7 PLUS / 8 PLUS dung lượng chuẩn,,https://sg-live-01.slatic.net/p/aeb7f52eb2eb2018568e75748dd9be09.png,,99000,,4.714285714285714,29,[],"[4402, 4518]",536520736,9
Apple iPhone 15 Pro 128GB Chính hãng VN/A [Viettel Store],,https://ph-live-01.slatic.net/p/1838504d17bc7f9177b3a98d79bd32ec.jpg,29490000,28690000,3% Off,0,,[],"[4402, 4518]",2416602219,9
SAMSUNG A30 3G/32G MÁY SIÊU MẠNH CÒN MỚI ĐEP KHÔNG TRẦY XƯỚC,,https://ph-live-01.slatic.net/p/c9ac5f0332a6637ab8fd933b9288b8e8.jpg,,999000,,4.72972972972973,74,[],"[4402, 4518]",2142336136,9
Điện thoại thông minh 5.0 Inch,,https://sg-test-11.slatic.net/other/common/cb0de9e624be4bbcaa8eeeea72282209.jpeg,,50000,,0,,[],"[4402, 4518]",2410909626,9
SAMSUNG J8  3G/32G GIÁ MỀM -SIÊU ĐẸP CHƠI GAME LƯỚT MẠNG BAO MƯỢT.,,https://vn-live-01.slatic.net/p/f3fdb8b2bfede3a4d500990186f7bb9a.jpg,,850000,,4.5,8,[],"[4402, 4518]",2164156505,9
"điện thoại giá rẻ Phone-6S Plus 32G Chính Hãng bản Quốc Tế, màn hình 5.5.inch, cày game nặng chất - TNN 03",,https://vn-live-01.slatic.net/p/d9a02aca23bd9d32250e09bafa3b99e0.jpg,,780000,,0,,[],"[4402, 4518]",2491479727,9
[CHỈ 25.12] Điện thoại Samsung Galaxy M34 5G 8GB/128GB,,https://ph-live-01.slatic.net/p/3bded652d1af1225b81f950f76a2232d.jpg,7990000,7665000,4% Off,4.916666666666667,12,[],"[4402, 4518]",2417664963,9
"Điện thoại Xiaomi Redmi Note 10T 5G (4GB/64GB) ,Màn 90HZ,Chống Nước IP68, Sạc Nhanh 18W , Mới Nguyên Seal - Hàng Nhập Khẩu - Bản quốc tế",,https://ph-live-01.slatic.net/p/bbf1f9981e81a85eccb6b7371fc6912a.jpg,3950000,2623000,34% Off,4.863157894736842,95,[],"[4402, 4518]",2064097831,9
"(Xả kho máy mới 100%) Điện thoại Nokia C30 2GB/32GB pin 6000mAh- Hàng chính hãng, Nguyên Hộp",,https://vn-live-01.slatic.net/p/1ee25e65f45908c7e3d7370350937098.jpg,2790000,1550000,44% Off,4.882978723404255,94,[],"[4402, 4518]",1495989583,9
Điện thoại Samsung Galaxy A13 6GB,,https://filebroker-cdn.lazada.vn/kf/S863fc55603ba439ebf077b676d2c01f4r.jpg,,4690000,,0,,[],"[4402, 4518]",2298766051,9
SAMSUNG A600 3G/32G CHÍNH HÃNG ĐẸP KEENG .,,https://vn-live-01.slatic.net/p/1568d64e405ba07f18180089ce2ee241.jpg,,790000,,4.625,8,[],"[4402, 4518]",2188666374,9
[VOUCHER 250K + tặng CỦ SẠC 15W giao cùng hàng] Điện thoại Samsung Galaxy A05 4GB/128GB,,https://vn-live-01.slatic.net/p/8a56fa39e3e7e0eb7aa35d5b7411216d.jpg,,3090000,,4.957777777777777,450,[],"[4402, 4518]",2417781047,9
SAMSUNG J8  3G/32G. MÁY SIÊU MẠNH CÒN MỚI ĐEP KHÔNG TRẦY XƯỚC,,https://vn-live-01.slatic.net/p/f3fdb8b2bfede3a4d500990186f7bb9a.jpg,,850000,,4.814516129032258,124,[],"[4402, 4518]",2142283720,9
Điện thoại di động Samsung Galaxy S20 FE 256GB - Chính hãng,,https://vn-live-01.slatic.net/p/e0a4f733aad024d3abafc74e90e0e04f.jpg,13900000,7270000,48% Off,5.0,55,[],"[4402, 4518]",2306767102,9
"Điện Thoại ĨP 6 PIus bản Q-Tế lắp sim,cài đầy đủ game và ứng dụng.Bảo hành 12 Tháng",,https://ph-live-01.slatic.net/p/4765cb2bf7133bbf07d03198ded85196.jpg,1300000,895000,31% Off,4.0,7,[],"[4402, 4518]",2415113798,9
Apple iPhone 15 Pro 512GB Chính hãng VN/A [Viettel Store],,https://vn-live-01.slatic.net/p/dae594f3c29d07b9fe1ae5e56a6b1ff6.jpg,38490000,37690000,2% Off,0,,[],"[4402, 4518]",2416463776,9
"[Ảnh thật] điện thoại giá rẻ CHÍNH HÃNG - Nokia 105 - Sóng cực khỏa, loa to huyền thoại",,https://vn-live-01.slatic.net/p/bd2a138f94ba50461e0191c1a7fd602f.png,99000,73000,26% Off,4.630331753554502,211,[],"[4402, 4518]",676144909,9
Điện thoại 6 plutt cũ đẹp khoảng 90% đã qua sử dụng,,https://filebroker-cdn.lazada.vn/kf/S41af619d6b1e41aead0b0dd720ca3e88l.jpg,969000,900000,7% Off,4.709677419354839,31,[],"[4402, 4518]",2429873336,9
Điện thoại Samsung Galaxy A04 (3G+32G) SM-A045F Xanh,,https://ph-live-01.slatic.net/p/b63d7d0a1f0ea5838e8a1f2b9d93683b.jpg,3490000,2030000,42% Off,5.0,2,[],"[4402, 4518]",2099354118,9
